sub,age,sex,excluded
1,19,male,0
2,25,male,0
3,19,female,0
4,19,female,0
5,NA,female,0
6,18,female,0
8,18,female,0
9,21,female,0
7,NA,NA,0
10,20,female,0
11,18,female,0
12,19,female,0
13,NA,female,0
14,18,female,0
15,18,female,0
16,18,female,0
17,19,female,0
18,20,female,0
19,22,female,0
20,18,female,0
21,18,female,0
22,21,female,0
23,20,male,0
24,18,female,0
25,18,female,0
26,18,female,0
27,18,female,0
28,18,female,0
29,18,female,0
30,18,female,0
31,22,male,0
32,19,female,0
33,18,NA,0
34,18,female,0
35,19,female,0
36,18,female,0
37,18,female,0
38,19,female,0
39,NA,NA,0
40,19,male,0
41,18,female,0
42,18,female,0
43,18,female,0
44,18,male,0
45,18,female,0
46,20,female,0
48,20,male,0
49,20,male,0
47,18,male,0
50,19,female,0
51,18,female,0
52,19,male,0
53,19,female,0
54,18,male,0
56,41,female,0
57,18,female,0
55,19,female,0
58,23,female,0
59,20,male,0
60,19,male,0
61,19,female,0
63,20,female,0
65,NA,female,0
66,19,male,0
67,19,female,0
64,19,male,0
62,20,female,0
68,18,female,0
69,20,female,0
70,18,male,0
71,19,female,0
72,18,female,0
73,19,male,0
74,18,male,0
75,18,male,0
76,21,male,0
77,18,female,0
78,18,female,0
79,18,female,0
80,19,female,0
81,18,female,0
82,20,male,0
83,19,male,0
84,18,male,0
85,18,male,0
86,18,female,0
87,22,female,0
88,19,male,0
89,19,female,0
90,18,female,0
91,20,NA,0
92,19,female,0
93,18,female,0
94,24,male,0
95,20,male,0
96,18,female,0
97,19,female,0
98,21,male,0
99,22,male,0
100,21,male,0
NA,31,female,1
NA,19,female,1
NA,19,female,1
NA,18,female,1
NA,22,female,1
NA,23,female,1
NA,19,female,1
NA,19,female,1
NA,23,female,1
NA,18,female,1
NA,20,male,1
NA,18,female,1
NA,19,male,1
NA,20,female,1
NA,22,female,1
NA,18,male,1
NA,24,female,1
NA,19,female,1
NA,18,female,1
NA,20,male,1
NA,20,male,1
NA,18,female,1
NA,18,male,1
NA,19,female,1
NA,19,male,1
NA,19,male,1