"","sid","ses","context","train_type","transfer","nclicks","k4_onset"
"1",1,1,1,1,NA,129,52
"2",1,1,2,1,NA,102,27
"3",1,3,NA,1,1,214,31
"4",1,3,NA,1,2,218,81
"5",2,1,1,1,NA,167,Inf
"6",2,1,2,1,NA,158,78
"7",2,3,NA,1,1,503,503
"8",2,3,NA,1,2,261,Inf
"9",3,1,1,2,NA,834,Inf
"10",3,1,2,2,NA,135,35
"11",3,3,NA,2,1,220,79
"12",3,3,NA,2,2,216,107
"13",4,1,1,2,NA,136,52
"14",4,1,2,2,NA,159,67
"15",4,3,NA,2,1,213,74
"16",4,3,NA,2,2,199,87
"17",5,1,1,1,NA,396,347
"18",5,1,2,1,NA,276,224
"19",5,3,NA,1,1,237,Inf
"20",5,3,NA,1,2,241,173
"21",6,1,1,1,NA,765,732
"22",6,1,2,1,NA,164,79
"23",6,3,NA,1,1,221,195
"24",6,3,NA,1,2,195,182
"25",7,1,1,2,NA,123,59
"26",7,1,2,2,NA,143,71
"27",7,3,NA,2,1,212,194
"28",7,3,NA,2,2,231,128
"29",8,1,1,2,NA,574,514
"30",8,1,2,2,NA,345,341
"31",8,3,NA,2,1,944,Inf
"32",8,3,NA,2,2,850,Inf
"33",9,1,1,1,NA,213,193
"34",9,1,2,1,NA,152,80
"35",9,3,NA,1,1,336,324
"36",9,3,NA,1,2,364,Inf
"37",10,1,1,1,NA,235,143
"38",10,1,2,1,NA,192,169
"39",10,3,NA,1,1,361,Inf
"40",10,3,NA,1,2,248,234
"41",11,1,1,2,NA,229,173
"42",11,1,2,2,NA,169,125
"43",11,3,NA,2,1,209,59
"44",11,3,NA,2,2,195,186
"45",12,1,1,2,NA,253,228
"46",12,1,2,2,NA,167,Inf
"47",12,3,NA,2,1,412,Inf
"48",12,3,NA,2,2,474,462
"49",13,1,1,1,NA,202,111
"50",13,1,2,1,NA,137,63
"51",13,3,NA,1,1,205,62
"52",13,3,NA,1,2,194,111
"53",14,1,1,1,NA,143,72
"54",14,1,2,1,NA,177,75
"55",14,3,NA,1,1,228,83
"56",14,3,NA,1,2,217,194
"57",15,1,1,2,NA,403,328
"58",15,1,2,2,NA,188,106
"59",15,3,NA,2,1,209,191
"60",15,3,NA,2,2,211,182
"61",16,1,1,2,NA,278,193
"62",16,1,2,2,NA,145,42
"63",16,3,NA,2,1,204,66
"64",16,3,NA,2,2,205,199
"65",17,1,1,1,NA,264,245
"66",17,1,2,1,NA,448,381
"67",17,3,NA,1,1,234,218
"68",17,3,NA,1,2,225,213
"69",18,1,1,1,NA,104,40
"70",18,1,2,1,NA,133,49
"71",18,3,NA,1,1,208,52
"72",18,3,NA,1,2,228,157
"73",19,1,1,2,NA,261,250
"74",19,1,2,2,NA,182,Inf
"75",19,3,NA,2,1,223,203
"76",19,3,NA,2,2,206,142
"77",20,1,1,2,NA,176,76
"78",20,1,2,2,NA,393,350
"79",20,3,NA,2,1,215,152
"80",20,3,NA,2,2,227,212
"81",21,1,1,1,NA,122,49
"82",21,1,2,1,NA,130,49
"83",21,3,NA,1,1,232,177
"84",21,3,NA,1,2,211,138
"85",22,1,1,1,NA,197,131
"86",22,1,2,1,NA,160,49
"87",22,3,NA,1,1,245,106
"88",22,3,NA,1,2,223,191
"89",23,1,1,2,NA,122,86
"90",23,1,2,2,NA,196,Inf
"91",23,3,NA,2,1,422,Inf
"92",23,3,NA,2,2,359,357
"93",24,1,1,2,NA,137,61
"94",24,1,2,2,NA,174,75
"95",24,3,NA,2,1,223,53
"96",24,3,NA,2,2,207,130
"97",25,1,1,1,NA,215,133
"98",25,1,2,1,NA,171,58
"99",25,3,NA,1,1,241,235
"100",25,3,NA,1,2,220,175
"101",26,1,1,1,NA,151,72
"102",26,1,2,1,NA,142,55
"103",26,3,NA,1,1,200,174
"104",26,3,NA,1,2,211,30
"105",27,1,1,2,NA,132,38
"106",27,1,2,2,NA,145,47
"107",27,3,NA,2,1,206,53
"108",27,3,NA,2,2,202,99
"109",28,1,1,2,NA,432,339
"110",28,1,2,2,NA,202,137
"111",28,3,NA,2,1,219,22
"112",28,3,NA,2,2,189,63
"113",29,1,1,1,NA,317,252
"114",29,1,2,1,NA,131,88
"115",29,3,NA,1,1,232,168
"116",29,3,NA,1,2,193,36
"117",30,1,1,1,NA,268,236
"118",30,1,2,1,NA,177,93
"119",30,3,NA,1,1,206,161
"120",30,3,NA,1,2,216,42
"121",31,1,1,2,NA,401,321
"122",31,1,2,2,NA,218,118
"123",31,3,NA,2,1,213,183
"124",31,3,NA,2,2,205,114
"125",32,1,1,2,NA,252,230
"126",32,1,2,2,NA,152,76
"127",32,3,NA,2,1,263,250
"128",32,3,NA,2,2,265,Inf
"129",33,1,1,1,NA,148,68
"130",33,1,2,1,NA,162,59
"131",33,3,NA,1,1,217,76
"132",33,3,NA,1,2,220,198
"133",34,1,1,1,NA,143,91
"134",34,1,2,1,NA,152,51
"135",34,3,NA,1,1,195,33
"136",34,3,NA,1,2,197,52
"137",35,1,1,2,NA,156,84
"138",35,1,2,2,NA,148,62
"139",35,3,NA,2,1,209,99
"140",35,3,NA,2,2,201,25
"141",36,1,1,2,NA,177,83
"142",36,1,2,2,NA,156,60
"143",36,3,NA,2,1,208,32
"144",36,3,NA,2,2,206,27
"145",37,1,1,1,NA,146,106
"146",37,1,2,1,NA,167,96
"147",37,3,NA,1,1,220,118
"148",37,3,NA,1,2,223,65
"149",38,1,1,1,NA,298,198
"150",38,1,2,1,NA,144,62
"151",38,3,NA,1,1,305,Inf
"152",38,3,NA,1,2,237,198
"153",39,1,1,2,NA,303,243
"154",39,1,2,2,NA,287,216
"155",39,3,NA,2,1,213,68
"156",39,3,NA,2,2,225,72
"157",40,1,1,2,NA,195,183
"158",40,1,2,2,NA,246,217
"159",40,3,NA,2,1,427,Inf
"160",40,3,NA,2,2,410,Inf
"161",41,1,1,1,NA,1089,Inf
"162",41,1,2,1,NA,139,87
"163",41,3,NA,1,1,227,198
"164",41,3,NA,1,2,225,201
"165",42,1,1,1,NA,178,168
"166",42,1,2,1,NA,163,96
"167",42,3,NA,1,1,229,44
"168",42,3,NA,1,2,228,Inf
"169",43,1,1,2,NA,588,538
"170",43,1,2,2,NA,159,61
"171",43,3,NA,2,1,213,17
"172",43,3,NA,2,2,203,97
"173",44,1,1,2,NA,121,58
"174",44,1,2,2,NA,134,56
"175",44,3,NA,2,1,220,53
"176",44,3,NA,2,2,208,62
"177",45,1,1,1,NA,313,238
"178",45,1,2,1,NA,151,71
"179",45,3,NA,1,1,219,214
"180",45,3,NA,1,2,210,50
"181",46,1,1,1,NA,142,109
"182",46,1,2,1,NA,155,63
"183",46,3,NA,1,1,206,175
"184",46,3,NA,1,2,224,194
"185",47,1,1,2,NA,125,46
"186",47,1,2,2,NA,192,102
"187",47,3,NA,2,1,207,130
"188",47,3,NA,2,2,200,Inf
"189",48,1,1,2,NA,158,80
"190",48,1,2,2,NA,188,90
"191",48,3,NA,2,1,215,208
"192",48,3,NA,2,2,200,32
"193",49,1,1,1,NA,316,233
"194",49,1,2,1,NA,154,82
"195",49,3,NA,1,1,353,Inf
"196",49,3,NA,1,2,305,Inf
"197",50,1,1,1,NA,267,184
"198",50,1,2,1,NA,156,56
"199",50,3,NA,1,1,207,93
"200",50,3,NA,1,2,210,31
"201",51,1,1,2,NA,140,81
"202",51,1,2,2,NA,142,59
"203",51,3,NA,2,1,216,105
"204",51,3,NA,2,2,194,186
"205",52,1,1,2,NA,221,218
"206",52,1,2,2,NA,131,39
"207",52,3,NA,2,1,194,64
"208",52,3,NA,2,2,199,42
"209",53,1,1,1,NA,149,86
"210",53,1,2,1,NA,412,409
"211",53,3,NA,1,1,461,Inf
"212",53,3,NA,1,2,456,Inf
"213",54,1,1,1,NA,427,418
"214",54,1,2,1,NA,319,314
"215",54,3,NA,1,1,205,32
"216",54,3,NA,1,2,204,75
"217",55,1,1,2,NA,479,455
"218",55,1,2,2,NA,446,444
"219",55,3,NA,2,1,754,Inf
"220",55,3,NA,2,2,637,Inf
"221",56,1,1,2,NA,157,80
"222",56,1,2,2,NA,156,64
"223",56,3,NA,2,1,276,275
"224",56,3,NA,2,2,223,208
"225",57,1,1,1,NA,207,127
"226",57,1,2,1,NA,167,82
"227",57,3,NA,1,1,203,Inf
"228",57,3,NA,1,2,222,222
"229",58,1,1,1,NA,113,43
"230",58,1,2,1,NA,132,56
"231",58,3,NA,1,1,214,66
"232",58,3,NA,1,2,230,135
"233",59,1,1,2,NA,143,59
"234",59,1,2,2,NA,186,98
"235",59,3,NA,2,1,239,221
"236",59,3,NA,2,2,203,142
"237",60,1,1,2,NA,123,40
"238",60,1,2,2,NA,169,128
"239",60,3,NA,2,1,630,Inf
"240",60,3,NA,2,2,629,Inf
"241",61,1,1,1,NA,169,83
"242",61,1,2,1,NA,147,57
"243",61,3,NA,1,1,205,34
"244",61,3,NA,1,2,211,18
"245",62,1,1,1,NA,216,126
"246",62,1,2,1,NA,763,Inf
"247",62,3,NA,1,1,470,Inf
"248",62,3,NA,1,2,540,Inf
"249",63,1,1,2,NA,395,394
"250",63,1,2,2,NA,510,419
"251",63,3,NA,2,1,760,Inf
"252",63,3,NA,2,2,642,Inf
"253",64,1,1,2,NA,156,77
"254",64,1,2,2,NA,147,71
"255",64,3,NA,2,1,199,97
"256",64,3,NA,2,2,223,169
"257",65,1,1,1,NA,227,218
"258",65,1,2,1,NA,180,114
"259",65,3,NA,1,1,218,52
"260",65,3,NA,1,2,202,56
"261",66,1,1,1,NA,141,47
"262",66,1,2,1,NA,150,37
"263",66,3,NA,1,1,240,219
"264",66,3,NA,1,2,219,219
"265",67,1,1,2,NA,186,172
"266",67,1,2,2,NA,151,58
"267",67,3,NA,2,1,235,183
"268",67,3,NA,2,2,204,193
"269",68,1,1,2,NA,164,81
"270",68,1,2,2,NA,147,59
"271",68,3,NA,2,1,222,Inf
"272",68,3,NA,2,2,221,206
"273",69,1,1,1,NA,174,128
"274",69,1,2,1,NA,150,70
"275",69,3,NA,1,1,316,Inf
"276",69,3,NA,1,2,275,Inf
"277",70,1,1,1,NA,1083,1035
"278",70,1,2,1,NA,160,82
"279",70,3,NA,1,1,214,133
"280",70,3,NA,1,2,205,204
"281",71,1,1,2,NA,410,363
"282",71,1,2,2,NA,149,Inf
"283",71,3,NA,2,1,206,202
"284",71,3,NA,2,2,227,190
"285",72,1,1,2,NA,216,173
"286",72,1,2,2,NA,102,32
"287",72,3,NA,2,1,208,103
"288",72,3,NA,2,2,218,90
"289",73,1,1,1,NA,204,197
"290",73,1,2,1,NA,147,43
"291",73,3,NA,1,1,227,221
"292",73,3,NA,1,2,234,216
"293",74,1,1,1,NA,143,76
"294",74,1,2,1,NA,181,130
"295",74,3,NA,1,1,217,61
"296",74,3,NA,1,2,211,70
"297",75,1,1,2,NA,141,74
"298",75,1,2,2,NA,126,54
"299",75,3,NA,2,1,201,Inf
"300",75,3,NA,2,2,216,216
"301",76,1,1,2,NA,159,69
"302",76,1,2,2,NA,165,67
"303",76,3,NA,2,1,214,Inf
"304",76,3,NA,2,2,208,Inf
"305",77,1,1,1,NA,400,322
"306",77,1,2,1,NA,144,68
"307",77,3,NA,1,1,208,136
"308",77,3,NA,1,2,235,229
"309",78,1,1,1,NA,382,308
"310",78,1,2,1,NA,150,75
"311",78,3,NA,1,1,215,29
"312",78,3,NA,1,2,214,144
"313",79,1,1,2,NA,170,89
"314",79,1,2,2,NA,148,68
"315",79,3,NA,2,1,224,192
"316",79,3,NA,2,2,202,146
"317",80,1,1,2,NA,221,152
"318",80,1,2,2,NA,136,61
"319",80,3,NA,2,1,217,164
"320",80,3,NA,2,2,287,Inf
"321",81,1,1,1,NA,165,89
"322",81,1,2,1,NA,148,69
"323",81,3,NA,1,1,208,16
"324",81,3,NA,1,2,205,191
"325",82,1,1,1,NA,131,58
"326",82,1,2,1,NA,153,89
"327",82,3,NA,1,1,202,102
"328",82,3,NA,1,2,197,50
"329",83,1,1,2,NA,291,255
"330",83,1,2,2,NA,125,30
"331",83,3,NA,2,1,199,Inf
"332",83,3,NA,2,2,225,215
"333",84,1,1,2,NA,196,115
"334",84,1,2,2,NA,155,59
"335",84,3,NA,2,1,188,184
"336",84,3,NA,2,2,217,182
"337",85,1,1,1,NA,430,412
"338",85,1,2,1,NA,145,46
"339",85,3,NA,1,1,208,Inf
"340",85,3,NA,1,2,211,73
"341",86,1,1,1,NA,132,73
"342",86,1,2,1,NA,144,69
"343",86,3,NA,1,1,199,49
"344",86,3,NA,1,2,203,44
"345",87,1,1,2,NA,173,86
"346",87,1,2,2,NA,151,56
"347",87,3,NA,2,1,225,Inf
"348",87,3,NA,2,2,200,112
"349",88,1,1,2,NA,152,93
"350",88,1,2,2,NA,153,Inf
"351",88,3,NA,2,1,395,Inf
"352",88,3,NA,2,2,392,374
"353",89,1,1,1,NA,146,59
"354",89,1,2,1,NA,156,51
"355",89,3,NA,1,1,213,102
"356",89,3,NA,1,2,233,216
"357",90,1,1,1,NA,487,425
"358",90,1,2,1,NA,135,38
"359",90,3,NA,1,1,230,Inf
"360",90,3,NA,1,2,274,258
"361",91,1,1,2,NA,147,100
"362",91,1,2,2,NA,234,187
"363",91,3,NA,2,1,382,Inf
"364",91,3,NA,2,2,389,Inf
"365",92,1,1,2,NA,143,62
"366",92,1,2,2,NA,137,47
"367",92,3,NA,2,1,206,60
"368",92,3,NA,2,2,214,59
"369",93,1,1,1,NA,533,532
"370",93,1,2,1,NA,210,135
"371",93,3,NA,1,1,183,84
"372",93,3,NA,1,2,194,47
"373",94,1,1,1,NA,438,430
"374",94,1,2,1,NA,192,150
"375",94,3,NA,1,1,184,96
"376",94,3,NA,1,2,207,55
"377",95,1,1,2,NA,177,115
"378",95,1,2,2,NA,152,72
"379",95,3,NA,2,1,393,388
"380",95,3,NA,2,2,261,198
"381",96,1,1,2,NA,130,53
"382",96,1,2,2,NA,146,63
"383",96,3,NA,2,1,211,68
"384",96,3,NA,2,2,204,55
"385",97,1,1,1,NA,150,73
"386",97,1,2,1,NA,161,77
"387",97,3,NA,1,1,216,197
"388",97,3,NA,1,2,232,Inf
